# CSV ya Wakuu wa Shule 20 za Dodoma Cc
# Muundo: jina_la_shule,email,jina_kamili
# Tengenezwa kwa ajili ya majaribio - IMS Field Management System
Bihawana,huseinhaj2000@gmail.com,Amina Juma Hassan
Bunge Wasichana,huseinhaj2001@gmail.com,Fatuma Said Omar
Chigongwe,huseinhaj2002@gmail.com,Hassan Bakari Mgeni
Chihanga,huseinhaj2003@gmail.com,Mwajuma Ali Rashid
Chikole,huseinhaj2004@gmail.com,Salim Abdallah Mwamba
Chinangali,huseinhaj2005@gmail.com,Zuwena Hamisi Suleiman
Dodoma,huseinhaj2006@gmail.com,Iddi Juma Kibwana
Hazina,huseinhaj2007@gmail.com,Mariam Rajabu Said
Hombolo,huseinhaj2008@gmail.com,Omar Ally Kipenzi
Ihumwa,huseinhaj2009@gmail.com,Hadija Mwenda Chonde
Ipala,huseinhaj2010@gmail.com,Bakari Salum Mwalimo
Itega,huseinhaj2011@gmail.com,Saumu Juma Kombo
Iyumbu,huseinhaj2012@gmail.com,Rashid Hassan Ndegwa
Kikombo,huseinhaj2013@gmail.com,Asha Ally Mtemvu
Kikuyu,huseinhaj2014@gmail.com,Juma Kilifi Mapunda
Kisasa,huseinhaj2015@gmail.com,Mwanasiti Omar Masoud
Kiwanja Cha Ndege,huseinhaj2016@gmail.com,Hussein Said Tambwe
Kizota,huseinhaj2017@gmail.com,Fatuma Khamis Mkubwa
Lukundo,huseinhaj2018@gmail.com,Ally Juma Nchimbi
Makole,huseinhaj2019@gmail.com,Zena Hamisi Waweru
